model,pr_auc,auroc,precision,recall,f1,latency_ms
Transformer,0.9970892312960069,0.9997838139262057,0.9896507115135834,0.9770114942528736,0.9832904884318766,3.3125126600043586
LSTM,0.9977776521501802,0.9999577508484655,0.9373493975903614,0.9936143039591315,0.9646621202727836,2.2186335800142842
GRU,0.998099522605259,0.999960882414969,0.9663341645885287,0.9897828863346104,0.9779179810725552,5.101210760067261
XGBoost,0.9878494191393992,0.9998880734937624,0.9811320754716981,0.9961685823754789,0.9885931558935361,1.2260641699867847
